model,dataset,precision,recall,f1,roc_auc,pr_auc,threshold
DenseAE,hai,0.6671368124118476,0.4315693430656934,0.5240997229916897,0.8591412104386205,0.4679264676504271,0.0141500988975167
IsolationForest,hai,0.1632785607585893,0.2867244525547445,0.2080695220360024,0.7698175651984653,0.1253573987386474,0.0401493161764392
LSTM_AE,hai,0.2806603773584906,0.10042194092827,0.1479179614667495,0.6696690451544935,0.1271234545823246,0.0670302361249923
OneClassSVM,hai,0.3141767020388696,0.3005246350364963,0.3071990673273098,0.7570709019243776,0.2729798402610676,8.677033780866537
DenseAE,morris,0.6023214810461358,0.9496166230396812,0.7371099263681234,0.7511903751540033,0.753962744495879,1.072080704034306e-05
IsolationForest,morris,0.5800675357522433,0.9987954319071556,0.7339063829787235,0.6580470820133375,0.6081778672778881,-0.0619344149047227
LSTM_AE,morris,1.0,0.9993827853215128,0.9996912973928662,,,0.0486408360302448
OneClassSVM,morris,0.4873707465949984,0.9913827051819591,0.6534840931127416,0.6285882249579993,0.6776727512358613,-16.27349486234681
